track_id,name,album_id,media_type_id,genre_id,composer,milliseconds,bytes,unit_price
1,For Those About To Rock (We Salute You),1,1,1,Angus Young|Malcolm Young|Brian Johnson,343719,11170334,0.99
2,Balls to the Wall,2,2,1,,342562,5510424,0.99
3,Fast As a Shark,3,2,1,F. Baltes|S. Kaufman|U. Dirkschneider|W. Hoffmann,230619,3990994,0.99
4,Restless and Wild,3,2,1,F. Baltes|R.A. Hoffmann|U. Dirkschneider,252051,4331779,0.99
5,Princess of the Dawn,3,2,1,F. Baltes|U. Dirkschneider,375418,6290521,0.99
6,Put The Finger On You,1,1,1,Angus Young|Malcolm Young|Brian Johnson,205662,6713451,0.99
7,Let's Get It Up,1,1,1,Angus Young|Malcolm Young|Brian Johnson,233926,7636561,0.99
8,Inject The Venom,1,1,1,Angus Young|Malcolm Young|Brian Johnson,210834,6852860,0.99
9,Snowballed,1,1,1,Angus Young|Malcolm Young|Brian Johnson,203102,6599424,0.99
10,Rock 'N' Roll Damnation,4,1,1,Angus Young|Malcolm Young|Brian Johnson,222380,7265650,0.99
11,Down Payment Blues,4,1,1,Angus Young|Malcolm Young|Brian Johnson,263497,8611245,0.99
12,Go Down,4,1,1,Angus Young|Malcolm Young|Brian Johnson,331180,10847611,0.99
13,Dog Eat Dog,4,1,1,Angus Young|Malcolm Young|Brian Johnson,215196,7032163,0.99
14,Let There Be Rock,4,1,1,Angus Young|Malcolm Young|Brian Johnson,366628,12021261,0.99
15,Bad Boy Boogie,4,1,1,Angus Young|Malcolm Young|Brian Johnson,267728,8767475,0.99
